asv_id	System
ASV_532	Lagoon
ASV_534	Lagoon
ASV_535	Lagoon
ASV_537	Lagoon
ASV_549	Lagoon
ASV_569	Lagoon
ASV_570	Lagoon
ASV_577	Lagoon
ASV_579	Lagoon
ASV_581	Lagoon
ASV_584	Lagoon
ASV_585	Lagoon
ASV_586	Lagoon
ASV_596	Lagoon
ASV_597	Lagoon
ASV_599	Lagoon
ASV_600	Lagoon
ASV_628	Lagoon
ASV_633	Lagoon
ASV_647	Lagoon
ASV_670	Lagoon
ASV_684	Lagoon
ASV_685	Lagoon
ASV_738	Lagoon
ASV_739	Lagoon
ASV_740	Lagoon
ASV_755	Lagoon
ASV_763	Lagoon
ASV_764	Lagoon
ASV_765	Lagoon
ASV_802	Lagoon
ASV_805	Lagoon
ASV_806	Lagoon
ASV_827	Lagoon
ASV_884	Lagoon
ASV_885	Lagoon
ASV_886	Lagoon
ASV_888	Lagoon
ASV_889	Lagoon
ASV_934	Lagoon
ASV_935	Lagoon
ASV_936	Lagoon
ASV_937	Lagoon
ASV_938	Lagoon
ASV_939	Lagoon
ASV_79	Lagoon
ASV_98	Lagoon
ASV_255	Lagoon
ASV_267	Lagoon
ASV_292	Lagoon
ASV_330	Lagoon
ASV_341	Lagoon
ASV_368	Lagoon
ASV_369	Lagoon
ASV_404	Lagoon
ASV_405	Lagoon
ASV_492	Lagoon
ASV_601	Lagoon
ASV_648	Lagoon
ASV_708	Lagoon
ASV_766	Lagoon
ASV_940	Lagoon
ASV_313	Stream
ASV_508	Stream
ASV_665	Stream
ASV_828	Stream
ASV_93	Stream
ASV_135	Stream
ASV_209	Stream
ASV_233	Stream
ASV_306	Stream
ASV_324	Stream
ASV_431	Stream
ASV_454	Stream
ASV_493	Stream
ASV_543	Stream
ASV_552	Stream
ASV_599	Stream
ASV_602	Stream
ASV_603	Stream
ASV_604	Stream
ASV_605	Stream
ASV_767	Stream
ASV_768	Stream
ASV_817	Stream
ASV_829	Stream
ASV_830	Stream
ASV_890	Stream
ASV_891	Stream
ASV_892	Stream
ASV_941	Stream
ASV_942	Stream
ASV_56	Stream
ASV_66	Stream
ASV_162	Stream
ASV_284	Stream
ASV_511	Stream
ASV_553	Stream
ASV_649	Stream
ASV_769	Stream
ASV_827	Stream
ASV_831	Stream
ASV_832	Stream
ASV_889	Stream
ASV_893	Stream
ASV_943	Stream
ASV_944	Stream
ASV_945	Stream
ASV_946	Stream
ASV_947	Stream
ASV_948	Stream
ASV_134	Stream
ASV_266	Stream
ASV_365	Stream
ASV_382	Stream
ASV_432	Stream
ASV_462	Stream
ASV_647	Stream
ASV_763	Stream
ASV_765	Stream
ASV_888	Stream
ASV_949	Stream
ASV_950	Stream
ASV_951	Stream
ASV_62	Stream
ASV_75	Stream
ASV_83	Stream
ASV_85	Stream
ASV_251	Stream
ASV_383	Stream
ASV_400	Stream
ASV_433	Stream
ASV_522	Stream
ASV_554	Stream
ASV_555	Stream
ASV_693	Stream
ASV_709	Stream
ASV_710	Stream
ASV_764	Stream
ASV_770	Stream
ASV_833	Stream
ASV_834	Stream
ASV_952	Stream
ASV_953	Stream
ASV_60	Lagoon
ASV_77	Lagoon
ASV_82	Lagoon
ASV_83	Lagoon
ASV_129	Lagoon
ASV_163	Lagoon
ASV_169	Lagoon
ASV_208	Lagoon
ASV_256	Lagoon
ASV_268	Lagoon
ASV_269	Lagoon
ASV_270	Lagoon
ASV_275	Lagoon
ASV_309	Lagoon
ASV_331	Lagoon
ASV_338	Lagoon
ASV_343	Lagoon
ASV_344	Lagoon
ASV_379	Lagoon
ASV_406	Lagoon
ASV_418	Lagoon
ASV_423	Lagoon
ASV_429	Lagoon
ASV_432	Lagoon
ASV_434	Lagoon
ASV_435	Lagoon
ASV_463	Lagoon
ASV_521	Lagoon
ASV_523	Lagoon
ASV_556	Lagoon
ASV_557	Lagoon
ASV_603	Lagoon
ASV_606	Lagoon
ASV_607	Lagoon
ASV_608	Lagoon
ASV_650	Lagoon
ASV_651	Lagoon
ASV_652	Lagoon
ASV_653	Lagoon
ASV_678	Lagoon
ASV_700	Lagoon
ASV_710	Lagoon
ASV_711	Lagoon
ASV_712	Lagoon
ASV_713	Lagoon
ASV_714	Lagoon
ASV_715	Lagoon
ASV_716	Lagoon
ASV_771	Lagoon
ASV_772	Lagoon
