"asv_id","System_derep"
"ASV_556","Lagoon"
"ASV_557","Lagoon"
"ASV_608","Lagoon"
"ASV_609","Lagoon"
"ASV_652","Lagoon"
"ASV_712","Lagoon"
"ASV_765","Lagoon"
"ASV_777","Lagoon"
"ASV_900","Lagoon"
"ASV_901","Lagoon"
"ASV_902","Lagoon"
"ASV_903","Lagoon"
"ASV_904","Lagoon"
"ASV_905","Lagoon"
"ASV_906","Lagoon"
"ASV_955","Lagoon"
"ASV_956","Lagoon"
"ASV_269","Lagoon"
"ASV_426","Lagoon"
"ASV_558","Lagoon"
"ASV_590","Lagoon"
"ASV_749","Lagoon"
"ASV_848","Lagoon"
"ASV_907","Lagoon"
"ASV_908","Lagoon"
"ASV_957","Lagoon"
"ASV_958","Lagoon"
"ASV_64","Stream"
"ASV_118","Stream"
"ASV_130","Stream"
"ASV_205","Stream"
"ASV_271","Stream"
"ASV_274","Stream"
"ASV_285","Stream"
"ASV_330","Stream"
"ASV_335","Stream"
"ASV_354","Stream"
"ASV_365","Stream"
"ASV_383","Stream"
"ASV_464","Stream"
"ASV_467","Stream"
"ASV_495","Stream"
"ASV_496","Stream"
"ASV_523","Stream"
"ASV_525","Stream"
"ASV_526","Stream"
"ASV_591","Stream"
"ASV_600","Stream"
"ASV_612","Stream"
"ASV_613","Stream"
"ASV_653","Stream"
"ASV_654","Stream"
"ASV_655","Stream"
"ASV_656","Stream"
"ASV_752","Stream"
"ASV_780","Stream"
"ASV_781","Stream"
"ASV_849","Stream"
"ASV_850","Stream"
"ASV_851","Stream"
"ASV_909","Stream"
"ASV_139","Stream"
"ASV_232","Stream"
"ASV_407","Stream"
"ASV_527","Stream"
"ASV_594","Stream"
"ASV_601","Stream"
"ASV_657","Stream"
"ASV_718","Stream"
"ASV_719","Stream"
"ASV_782","Stream"
"ASV_783","Stream"
"ASV_784","Stream"
"ASV_785","Stream"
"ASV_910","Stream"
"ASV_959","Stream"
"ASV_129","Stream"
"ASV_242","Stream"
"ASV_309","Stream"
"ASV_405","Stream"
"ASV_411","Stream"
"ASV_463","Stream"
"ASV_494","Stream"
"ASV_522","Stream"
"ASV_524","Stream"
"ASV_559","Stream"
"ASV_610","Stream"
"ASV_611","Stream"
"ASV_659","Stream"
"ASV_714","Stream"
"ASV_715","Stream"
"ASV_716","Stream"
"ASV_717","Stream"
"ASV_721","Stream"
"ASV_776","Stream"
"ASV_778","Stream"
"ASV_779","Stream"
"ASV_852","Stream"
"ASV_853","Stream"
"ASV_911","Stream"
"ASV_912","Stream"
"ASV_913","Stream"
"ASV_960","Stream"
"ASV_17","Stream"
"ASV_21","Stream"
"ASV_36","Stream"
"ASV_57","Stream"
"ASV_58","Stream"
"ASV_69","Stream"
"ASV_82","Stream"
"ASV_122","Stream"
"ASV_158","Stream"
"ASV_159","Stream"
"ASV_187","Stream"
"ASV_196","Stream"
"ASV_218","Stream"
"ASV_251","Stream"
"ASV_255","Stream"
"ASV_272","Stream"
"ASV_293","Stream"
"ASV_310","Stream"
"ASV_311","Stream"
"ASV_342","Stream"
"ASV_345","Stream"
"ASV_359","Stream"
"ASV_360","Stream"
"ASV_377","Stream"
"ASV_384","Stream"
"ASV_385","Stream"
"ASV_401","Stream"
"ASV_408","Stream"
"ASV_437","Stream"
"ASV_438","Stream"
"ASV_465","Stream"
"ASV_492","Stream"
"ASV_497","Stream"
"ASV_528","Stream"
"ASV_553","Stream"
"ASV_560","Stream"
"ASV_583","Stream"
"ASV_614","Stream"
"ASV_615","Stream"
"ASV_616","Stream"
"ASV_658","Stream"
"ASV_660","Stream"
"ASV_661","Stream"
"ASV_662","Stream"
"ASV_663","Stream"
"ASV_678","Stream"
"ASV_683","Stream"
"ASV_695","Stream"
"ASV_699","Stream"
"ASV_713","Stream"
